#Time_millis number_of_S number_of_I number_of_R
107322 56 343 101
107423 56 341 103
107523 57 337 106
107623 56 337 107
107723 56 336 108
107823 57 335 108
107924 58 334 108
108024 57 333 110
108124 58 330 112
108224 59 329 112
108325 59 329 112
108425 61 322 117
108525 61 321 118
108625 61 320 119
108725 62 316 122
108825 64 313 123
108926 64 312 124
109026 67 308 125
109126 67 307 126
109226 67 304 129
109326 68 303 129
109427 67 303 130
109527 67 297 136
109627 67 296 137
109727 67 292 141
109827 66 290 144
109928 67 287 146
110028 67 283 150
110128 68 279 153
110228 69 274 157
110328 68 270 162
110428 69 269 162
110529 69 269 162
110629 70 267 163
110729 70 264 166
110829 70 262 168
110929 71 262 167
111029 71 260 169
111130 72 260 168
111230 73 258 169
111330 72 259 169
111430 72 258 170
111530 72 255 173
111630 72 252 176
111731 72 249 179
111831 72 247 181
111931 73 247 180
112031 73 244 183
112131 76 241 183
112232 76 237 187
112332 76 230 194
112432 81 226 193
112532 80 225 195
112632 80 223 197
112732 84 223 193
112833 85 220 195
112933 83 218 199
113033 84 217 199
113133 84 215 201
113233 87 212 201
113333 87 210 203
113434 86 207 207
113534 85 205 210
113634 83 206 211
113734 85 205 210
113834 85 201 214
113934 86 200 214
114035 86 196 218
114135 86 194 220
114235 85 194 221
114335 84 191 225
114435 85 190 225
114535 88 182 230
114635 92 180 228
114736 92 179 229
114836 89 180 231
114936 91 178 231
115036 93 177 230
115136 93 176 231
115237 93 176 231
115337 95 176 229
115437 95 174 231
115537 95 168 237
115637 96 167 237
115738 96 167 237
115838 97 168 235
115938 98 168 234
116038 100 164 236
116138 101 163 236
116239 102 163 235
116339 104 163 233
116439 103 164 233
116539 103 163 234
116639 103 162 235
116739 101 160 239
116840 99 162 239
116940 100 160 240
117040 102 160 238
117140 104 157 239
117240 106 154 240
117340 109 152 239
117441 111 148 241
117541 115 145 240
117641 116 142 242
117741 116 142 242
117841 118 142 240
117941 120 139 241
118042 119 139 242
118142 121 134 245
118242 122 134 244
118342 122 134 244
118442 129 133 238
118542 130 133 237
118643 131 132 237
118743 134 132 234
118843 137 127 236
118943 138 120 242
119043 140 120 240
119144 140 120 240
119244 140 122 238
119347 142 122 236
119447 143 122 235
119547 148 121 231
119648 149 121 230
119748 153 120 227
119848 153 122 225
119948 154 123 223
